id;register_code;account_name;account_type;account_angle;ksei_client_code;ksei_subrek;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Soap Tasty;Home Loan ;D;false;depo;parsing Investm;2019-10-17;2019-10-17T11:18:03;65148;2019-10-17;2019-10-18T05:24:31;19579
2;Intelligen;Checking A;G;true;Hand;wireless;2019-10-18;2019-10-18T03:36:17;49603;2019-10-18;2019-10-17T17:44:24;69673
3;Personal L;Credit Car;m;false;quan;interface Cotto;2019-10-17;2019-10-18T02:11:24;86711;2019-10-17;2019-10-17T20:53:04;85841
4;bandwidth;Auto Loan ;c;true;navi;Fantastic Small;2019-10-18;2019-10-18T02:42:20;95680;2019-10-17;2019-10-17T18:07:36;95060
5;Missouri d;Investment;m;false;Dani;neural Wooden O;2019-10-17;2019-10-18T08:59:16;99593;2019-10-17;2019-10-18T09:01:41;44153
6;EXE cross-;Savings Ac;p;false;Alge;Steel Avon Visi;2019-10-17;2019-10-18T01:23:12;86313;2019-10-18;2019-10-17T13:14:26;81279
7;Interactio;Personal L;n;false;navi;Triple-buffered;2019-10-17;2019-10-17T22:32:46;25368;2019-10-18;2019-10-18T00:38:40;46866
8;Handmade W;Credit Car;s;false;asym;web services;2019-10-17;2019-10-18T10:04:38;97790;2019-10-17;2019-10-17T21:01:30;4315
9;Lead;Home Loan ;A;true;Savi;heuristic Orche;2019-10-18;2019-10-17T12:44:29;73710;2019-10-18;2019-10-17T12:24:12;28096
10;Brand Regi;Home Loan ;c;false;one-;holistic;2019-10-18;2019-10-17T10:42:01;45324;2019-10-17;2019-10-18T09:35:37;53609
