id;register_code;campaign_name;campaign_desc;investment_type;offer_date;deadline_date;price;fund_target;fund_raised;fund_paid;qty_target;qty_raised;est_roi_min;est_roi_max;prospectus_file;prospectus_file_content_type;campaign_logo_1;campaign_logo_1_content_type;campaign_logo_2;campaign_logo_2_content_type;campaign_logo_3;campaign_logo_3_content_type;status;company_bank_id;campaign_id;account_id;currency_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Flats AI;Cotton web services;Sleek synergies Practical Soft Chair;Specialist;2019-10-15;2019-10-15;82603;75396;69931;80490;83946;1800;98179;96281;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;h;82939;53267;28152;63508;2019-10-15;2019-10-15T23:41:59;11258;2019-10-16;2019-10-15T17:36:27;12024
2;Ergonomic ;secured line;Incredible Focused;quantify E;2019-10-15;2019-10-16;59322;34040;89230;98902;18533;62617;7896;53131;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;s;28529;3467;42918;58280;2019-10-16;2019-10-15T10:36:20;78916;2019-10-15;2019-10-15T20:44:08;52144
3;Gorgeous F;bandwidth;Lead Vatu;Refined Fr;2019-10-16;2019-10-16;91067;43459;46443;77387;13752;60192;34081;89252;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;i;60708;94810;63130;44524;2019-10-15;2019-10-15T15:33:53;70263;2019-10-15;2019-10-16T04:47:51;67642
4;Wooden Inn;Cambridgeshire withdrawal Response;Shoal Analyst;withdrawal;2019-10-16;2019-10-15;25439;292;36185;3976;47249;60407;4564;90738;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;E;46964;97153;45046;33134;2019-10-15;2019-10-15T22:55:37;62251;2019-10-16;2019-10-15T23:13:20;61078
5;holistic p;Albania TCP;gold;bypassing;2019-10-16;2019-10-16;46285;80258;43853;57204;21850;51266;39679;29348;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;R;39701;81668;8709;28456;2019-10-15;2019-10-15T14:51:33;11383;2019-10-15;2019-10-16T02:12:38;87986
6;Utah Healt;Australian Dollar Architect Frozen;Shirt;mindshare ;2019-10-15;2019-10-15;71403;25817;60790;67460;30937;29672;82379;71842;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;C;210;5113;71757;25760;2019-10-15;2019-10-16T09:04:02;4055;2019-10-15;2019-10-15T13:34:40;68658
7;Metal;online withdrawal;Rubber;Saint Kitt;2019-10-16;2019-10-16;32108;35477;74985;94172;41267;66857;64609;67866;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;v;1013;50215;63609;13887;2019-10-15;2019-10-16T07:43:05;61257;2019-10-16;2019-10-15T13:31:38;17184
8;deposit re;Yemen Fresh Clothing;France Meadow;Maryland;2019-10-16;2019-10-15;12300;80802;55864;21605;34316;46660;72917;81672;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;R;40389;67296;7761;27538;2019-10-15;2019-10-16T03:08:40;86174;2019-10-15;2019-10-15T20:19:45;44641
9;cross-plat;Terrace Virginia index;success;Tools seam;2019-10-16;2019-10-15;39297;68840;52581;37455;51168;16686;16562;43052;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;S;34587;94664;15445;33976;2019-10-16;2019-10-15T22:04:56;64582;2019-10-16;2019-10-15T19:12:37;671
10;optimize r;artificial intelligence Uzbekistan Sum;Guinea overriding;Designer C;2019-10-15;2019-10-16;14055;97202;48558;22848;2753;97745;50545;53191;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;C;92563;38798;41415;16002;2019-10-16;2019-10-16T09:56:07;31320;2019-10-15;2019-10-16T06:57:59;45852
