id;account_type;register_id;account_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;U;36019;53708;2019-12-06;2019-12-05T20:42:26;52224;2019-12-05;2019-12-05T10:04:02;27154
2;O;45726;8534;2019-12-05;2019-12-06T03:18:23;19438;2019-12-05;2019-12-05T18:40:28;54063
3;d;51630;71459;2019-12-05;2019-12-06T03:33:40;79518;2019-12-05;2019-12-05T22:02:49;43352
4;b;18433;96264;2019-12-06;2019-12-05T08:29:01;42831;2019-12-05;2019-12-05T12:01:23;40895
5;S;15643;44235;2019-12-05;2019-12-05T22:47:31;54922;2019-12-06;2019-12-05T11:23:48;18286
6;R;51669;73789;2019-12-05;2019-12-05T15:14:33;43567;2019-12-05;2019-12-05T11:01:34;41960
7;O;35597;15864;2019-12-05;2019-12-06T01:39:46;1439;2019-12-05;2019-12-06T01:45:40;9179
8;S;31141;85546;2019-12-05;2019-12-05T11:39:33;17533;2019-12-05;2019-12-06T04:08:06;9783
9;B;43385;64977;2019-12-05;2019-12-06T03:23:36;61585;2019-12-05;2019-12-05T13:18:17;88668
10;e;1530;62585;2019-12-05;2019-12-05T16:28:18;50103;2019-12-05;2019-12-05T15:36:07;65869
